city_ascii,county_name,county_fips,state_id,metfips,metarea
Beverly Shores,Porter,18127,IN,16980,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)"
Ireton,Sioux,19167,IA,NA,NA
Cole,McClain,40087,OK,36420,"Oklahoma City, OK (Metropolitan Statistical Area)"
Marquette,McPherson,20113,KS,NA,NA
Raysal,McDowell,54047,WV,NA,NA
Summertown,Lawrence,47099,TN,NA,NA
Ovid,Seneca,36099,NY,NA,NA
Dry Tavern,Greene,42059,PA,NA,NA
Watkins,Arapahoe,08005,CO,19740,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)"
Hopkins Park,Kankakee,17091,IL,28100,"Kankakee, IL (Metropolitan Statistical Area)"
Franklin,Morgan,17137,IL,NA,NA
Stanford,McLean,17113,IL,14010,"Bloomington, IL (Metropolitan Statistical Area)"
Colbert,Madison,13195,GA,12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)"
Minden,Pottawattamie,19155,IA,36540,"Omaha-Council Bluffs, NE-IA (Metropolitan Statistical Area)"
Shawnee,Hamilton,39061,OH,17140,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)"
Leadington,St. Francois,29187,MO,NA,NA
Evansville,Douglas,27041,MN,NA,NA
Prentice,Price,55099,WI,NA,NA
Hatley,Marathon,55073,WI,48140,"Wausau-Weston, WI (Metropolitan Statistical Area)"
Siracusaville,St. Mary,22101,LA,NA,NA
Ingold,Sampson,37163,NC,NA,NA
Greenville,Greene,36039,NY,NA,NA
Patterson Heights,Beaver,42007,PA,38300,"Pittsburgh, PA (Metropolitan Statistical Area)"
Tamaroa,Perry,17145,IL,NA,NA
Hopkinton,Delaware,19055,IA,NA,NA
Eagletown,McCurtain,40089,OK,NA,NA
Eau Claire,Berrien,26021,MI,35660,"Niles, MI (Metropolitan Statistical Area)"
St. Paul,Neosho,20133,KS,NA,NA
Newell,Butte,46019,SD,NA,NA
Bath,Morgan,54065,WV,25180,"Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)"
Varnamtown,Brunswick,37019,NC,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC (Metropolitan Statistical Area)"
Belvoir,Pitt,37147,NC,24780,"Greenville, NC (Metropolitan Statistical Area)"
Savannah,Wayne,36117,NY,40380,"Rochester, NY (Metropolitan Statistical Area)"
Graeagle,Plumas,06063,CA,NA,NA
Babbie,Covington,01039,AL,NA,NA
Fairmount,Vermilion,17183,IL,19180,"Danville, IL (Metropolitan Statistical Area)"
Sutherland,O'Brien,19141,IA,NA,NA
Nome,Jefferson,48245,TX,13140,"Beaumont-Port Arthur, TX (Metropolitan Statistical Area)"
Balmorhea,Reeves,48389,TX,NA,NA
